frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
84,2.800,2,1,PICKING,,,True,443,550,599,747,100.0,0.0,True,True,
84,2.800,2,2,PLACED,,,True,452,550,590,717,7.2,92.8,True,False,
85,2.833,2,1,PICKING,,,True,448,540,604,737,100.0,0.0,True,True,
85,2.833,2,2,PLACED,,,True,457,540,595,707,3.6,96.4,True,False,
86,2.867,2,1,PICKING,,,True,450,529,606,726,100.0,0.0,True,True,
86,2.867,2,2,PLACED,,,True,459,529,597,696,2.2,97.8,True,False,
87,2.900,2,1,PICKING,,,True,454,528,610,725,100.0,0.0,True,True,
87,2.900,2,2,PLACED,,,True,463,528,601,695,0.0,100.0,True,False,
88,2.933,2,1,PICKING,,,True,456,523,612,720,100.0,0.0,True,True,
88,2.933,2,2,PLACED,,,True,465,523,603,690,0.0,100.0,True,False,
89,2.967,2,1,PICKING,,,True,461,520,617,717,100.0,0.0,True,True,
89,2.967,2,2,PLACED,,,True,470,520,608,687,0.0,100.0,True,False,
90,3.000,2,1,PICKING,,,True,466,514,622,711,100.0,0.0,True,True,
90,3.000,2,2,PLACED,,,True,475,514,613,681,0.0,100.0,True,False,
91,3.033,2,1,PICKING,,,True,473,515,629,712,100.0,0.0,True,True,
91,3.033,2,2,PLACED,,,True,482,515,620,682,0.0,100.0,True,False,
92,3.067,2,1,PICKING,,0.4307,False,452,547,612,776,100.0,0.0,True,True,
92,3.067,2,2,PLACED,,,True,484,510,622,677,0.0,100.0,True,False,
93,3.100,2,1,PICKING,,,True,475,516,635,745,98.8,1.2,True,True,
93,3.100,2,2,PLACED,,,True,486,516,624,683,0.0,100.0,True,False,
94,3.133,2,1,PICKING,,,True,481,505,641,734,95.0,5.0,True,True,
94,3.133,2,2,PLACED,,,True,492,505,630,672,0.0,100.0,True,False,
95,3.167,2,1,PICKING,,,True,484,504,644,733,93.1,6.9,True,True,
95,3.167,2,2,PLACED,,,True,495,504,633,671,0.0,100.0,True,False,
96,3.200,2,1,PICKING,,0.3756,False,466,533,626,764,100.0,0.0,True,True,
96,3.200,2,2,PLACED,,,True,500,501,638,668,0.0,100.0,True,False,
97,3.233,2,1,PICKING,,,True,493,505,653,736,87.5,12.5,True,True,
97,3.233,2,2,PLACED,,,True,504,505,642,672,0.0,100.0,True,False,
98,3.267,2,1,PICKING,,,True,499,500,659,731,83.8,16.2,True,True,
98,3.267,2,2,PLACED,,,True,510,500,648,667,0.0,100.0,True,False,
99,3.300,2,1,PICKING,,,True,503,505,663,736,81.2,18.8,True,True,
99,3.300,2,2,PLACED,,,True,514,505,652,672,0.0,100.0,True,False,
100,3.333,2,1,PICKING,,,True,509,501,669,732,77.5,22.5,True,True,
100,3.333,2,2,PLACED,,,True,520,501,658,668,0.0,100.0,True,False,
101,3.367,2,1,PICKING,,,True,518,499,678,730,71.9,28.1,True,True,
101,3.367,2,2,PLACED,,,True,529,499,667,666,0.0,100.0,True,False,
102,3.400,2,1,PICKING,,,True,524,498,684,729,68.1,31.9,True,True,
102,3.400,2,2,PLACED,,,True,535,498,673,665,0.0,100.0,True,False,
103,3.433,2,1,PICKING,,,True,530,495,690,726,64.4,35.6,True,True,
103,3.433,2,2,PLACED,,,True,541,495,679,662,0.0,100.0,True,False,
104,3.467,2,1,PICKING,,,True,537,499,697,730,60.0,40.0,True,True,
104,3.467,2,2,PLACED,,,True,548,499,686,666,0.0,100.0,True,False,
105,3.500,2,1,PICKING,,,True,544,498,704,729,55.6,44.4,True,True,
105,3.500,2,2,PLACED,,,True,555,498,693,665,0.0,100.0,True,False,
106,3.533,2,1,PICKING,,,True,548,496,708,727,53.1,46.9,True,True,
106,3.533,2,2,PLACED,,,True,559,496,697,663,0.0,100.0,True,False,
107,3.567,2,1,PICKING,,,True,554,493,714,724,49.4,50.6,True,True,
107,3.567,2,2,PLACED,,,True,565,493,703,660,0.0,100.0,True,False,
108,3.600,2,1,PICKING,,,True,567,489,727,720,41.2,58.8,True,True,
108,3.600,2,2,PLACED,,,True,578,489,716,656,0.0,100.0,True,False,
109,3.633,2,1,PICKING,,,True,568,495,728,726,40.6,59.4,True,True,
109,3.633,2,2,PLACED,,,True,579,495,717,662,0.0,100.0,True,False,
110,3.667,2,1,PICKING,,,True,578,492,738,723,34.4,65.6,False,False,
110,3.667,2,2,PLACED,,,True,589,492,727,659,0.0,100.0,True,False,
111,3.700,2,1,PICKING,,,True,585,492,745,723,30.0,70.0,False,False,
111,3.700,2,2,PLACED,,,False,,,,,0.0,100.0,True,False,
112,3.733,1,1,PICKING,,,True,585,492,745,723,30.0,70.0,False,False,
112,3.733,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
113,3.767,1,1,PICKING,,,True,585,492,745,723,30.0,70.0,False,False,
113,3.767,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
114,3.800,1,1,PICKING,,,True,585,492,745,723,30.0,70.0,False,False,
114,3.800,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
115,3.833,1,1,PICKED,Backpack 1: PICKING -> PICKED,,True,585,492,745,723,30.0,70.0,False,False,2
115,3.833,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
116,3.867,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
116,3.867,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
117,3.900,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
117,3.900,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
118,3.933,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
118,3.933,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
119,3.967,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
119,3.967,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
120,4.000,1,1,PICKED,,,True,585,492,745,723,30.0,70.0,False,False,2
120,4.000,1,2,PLACED,,,False,,,,,0.0,100.0,False,False,
